target_id	target_chr	target_start	target_end	offtarget_chr	offtarget_start	offtarget_end	identity	alignment_length	strand
AMPL7157909474	chr2	169757468	169757785	NW_003315909.1	87585	87902	100.000	317	+
AMPL7157909475	chr2	169757774	169758090	NW_003315909.1	87891	88207	100.000	316	+
AMPL7157409249	chr2	169758864	169759156	NW_003315909.1	88981	89273	100.000	292	+
AMPL7157409248	chr2	169760896	169761205	NW_003315909.1	91013	91322	100.000	309	+
AMPL7155920012	chr2	169763072	169763388	NW_003315909.1	93189	93505	100.000	316	+
AMPL7160391731	chr2	169763994	169764316	NW_003315909.1	94111	94433	100.000	322	+
AMPL7157410211	chr2	169764305	169764599	NW_003315909.1	94422	94716	100.000	294	+
AMPL7157410212	chr2	169764588	169764912	NW_003315909.1	94705	95029	100.000	324	+
AMPL7157410213	chr2	169764901	169765156	NW_003315909.1	95018	95273	100.000	255	+
AMPL7157410214	chr2	169765145	169765432	NW_003315909.1	95262	95549	100.000	287	+
AMPL7157410215	chr2	169765411	169765633	NW_003315909.1	95528	95750	100.000	222	+
AMPL7157410216	chr2	169765622	169765906	NW_003315909.1	95739	96023	100.000	284	+
AMPL7157410217	chr2	169765895	169766165	NW_003315909.1	96012	96282	100.000	270	+
AMPL7157407457	chr2	169766154	169766306	NW_003315909.1	96271	96423	100.000	152	+
AMPL7154849303	chr6	29640271	29640598	NT_167249.1	980824	981151	100.000	327	+
AMPL7154849303	chr6	29640271	29640598	NT_167248.1	943591	943918	100.000	327	+
AMPL7154849303	chr6	29640271	29640598	NT_167247.1	943453	943780	100.000	327	+
AMPL7154849303	chr6	29640271	29640598	NT_167246.1	943228	943555	100.000	327	+
AMPL7154849303	chr6	29640271	29640598	NT_167245.1	943625	943952	100.000	327	+
AMPL7154849303	chr6	29640271	29640598	NT_113891.2	1159073	1159400	100.000	327	+
AMPL7154849303	chr6	29640271	29640598	NT_167244.1	943796	944123	100.000	327	+
AMPL7166063231	chr6	29640587	29640917	NT_167249.1	981140	981470	100.000	330	+
AMPL7166063231	chr6	29640587	29640917	NT_167248.1	943907	944237	100.000	330	+
AMPL7166063231	chr6	29640587	29640917	NT_167247.1	943769	944099	100.000	330	+
AMPL7166063231	chr6	29640587	29640917	NT_167246.1	943544	943874	100.000	330	+
AMPL7166063231	chr6	29640587	29640917	NT_167245.1	943941	944271	100.000	330	+
AMPL7166063231	chr6	29640587	29640917	NT_113891.2	1159389	1159719	100.000	330	+
AMPL7161905353	chr6	29640895	29641222	NT_167249.1	981448	981775	100.000	327	+
AMPL7161905353	chr6	29640895	29641222	NT_167248.1	944215	944542	100.000	327	+
AMPL7161905353	chr6	29640895	29641222	NT_167247.1	944077	944404	100.000	327	+
AMPL7161905353	chr6	29640895	29641222	NT_167246.1	943852	944179	100.000	327	+
AMPL7161905353	chr6	29640895	29641222	NT_167245.1	944249	944576	100.000	327	+
AMPL7161905353	chr6	29640895	29641222	NT_113891.2	1159697	1160024	100.000	327	+
AMPL7157869531	chr6	29641198	29641514	NT_167249.1	981751	982067	100.000	316	+
AMPL7157869531	chr6	29641198	29641514	NT_167248.1	944518	944834	100.000	316	+
AMPL7157869531	chr6	29641198	29641514	NT_167247.1	944380	944696	100.000	316	+
AMPL7157869531	chr6	29641198	29641514	NT_167246.1	944155	944471	100.000	316	+
AMPL7157869531	chr6	29641198	29641514	NT_167245.1	944552	944868	100.000	316	+
AMPL7157869531	chr6	29641198	29641514	NT_113891.2	1160000	1160316	100.000	316	+
AMPL7166063241	chr6	29643038	29643361	NT_167249.1	983590	983913	100.000	323	+
AMPL7166063241	chr6	29643038	29643361	NT_167248.1	946359	946682	100.000	323	+
AMPL7166063241	chr6	29643038	29643361	NT_167247.1	946215	946538	100.000	323	+
AMPL7166063241	chr6	29643038	29643361	NT_167246.1	945995	946318	100.000	323	+
AMPL7166063241	chr6	29643038	29643361	NT_167245.1	946393	946716	100.000	323	+
AMPL7166063241	chr6	29643038	29643361	NT_113891.2	1161847	1162170	100.000	323	+
AMPL7166063244	chr6	29644481	29644804	NT_167249.1	985032	985355	100.000	323	+
AMPL7166063244	chr6	29644481	29644804	NT_167248.1	947803	948126	100.000	323	+
AMPL7166063244	chr6	29644481	29644804	NT_167247.1	947658	947981	100.000	323	+
AMPL7166063244	chr6	29644481	29644804	NT_167246.1	947439	947762	100.000	323	+
AMPL7166063244	chr6	29644481	29644804	NT_167245.1	947837	948160	100.000	323	+
AMPL7166072478	chr9	135944485	135944807	chr9	135960269	135960591	100.000	322	+
AMPL7166063288	chrX	49107142	49107461	NW_004070880.2	1490110	1490429	100.000	319	+
AMPL7153383992	chrX	49107680	49107909	NW_004070880.2	1490648	1490877	100.000	229	+
AMPL7155897750	chrX	49107925	49108181	NW_004070880.2	1490893	1491149	100.000	256	+
AMPL7153383993	chrX	49108153	49108330	NW_004070880.2	1491121	1491298	100.000	177	+
AMPL7166063289	chrX	49109496	49109751	NW_004070880.2	1492464	1492719	100.000	255	+
AMPL7166063290	chrX	49111802	49112111	NW_004070880.2	1494770	1495079	100.000	309	+
AMPL7154805445	chrX	49111988	49112275	NW_004070880.2	1494956	1495243	100.000	287	+
AMPL7154785000	chrX	49113222	49113533	NW_004070880.2	1496194	1496505	100.000	311	+
AMPL7154805448	chrX	49113809	49114113	NW_004070880.2	1496781	1497085	100.000	304	+
AMPL7166062735	chrX	49114133	49114307	NW_004070880.2	1497105	1497279	100.000	174	+
AMPL7157837683	chrX	49114703	49115035	NW_004070880.2	1497675	1498007	100.000	332	+
