p_chrom	p_start	p_end	p_name	gene	GeneID	transcript	exon_num	annotation_status	nearest_exon_distance	final_id
chr1	18722630	18722936	AMPL7162509462	NA	NA	NA	NA	region_only	17654	intergenic_dist17654bp
chr1	113456395	113456721	AMPL7166063003	SLC16A1	6566	NM_003051.4	5	exon	0	SLC16A1_exon5
chr1	113459897	113460203	AMPL7166063010	SLC16A1	6566	NM_003051.4	4	exon	0	SLC16A1_exon4
chr1	113460270	113460593	AMPL7163702396	SLC16A1	6566	NM_003051.4	4	exon	0	SLC16A1_exon4
chr1	113471727	113472054	AMPL7166063018	SLC16A1	6566	NM_003051.4	2	exon	0	SLC16A1_exon2
chr1	113498778	113499101	AMPL7156752826	SLC16A1	6566	NM_003051.4	1	exon	0	SLC16A1_exon1
chr10	14208466	14208737	AMPL7162509639	FRMD4A	55691	NM_018027.5;NR_134578.2	NA	gene_or_transcript_region	69330	FRMD4A_dist69330bp
chr10	71331853	71332161	AMPL7162179230	NEUROG3	50674	NM_020999.4	2	exon	0	NEUROG3_exon2
chr10	71332179	71332500	AMPL7160391779	NEUROG3	50674	NM_020999.4	2	exon	0	NEUROG3_exon2
chr10	71332518	71332818	AMPL7163702231	NEUROG3	50674	NM_020999.4	2	exon	0	NEUROG3_exon2
chr10	88811251	88811541	AMPL7166063029	GLUD1	2746	NM_005271.5	13	exon	0	GLUD1_exon13
chr10	88812995	88813314	AMPL7166063033	GLUD1	2746	NM_005271.5	12	exon	0	GLUD1_exon12
chr10	88817320	88817602	AMPL7166063035	GLUD1	2746	NM_005271.5	11	exon	0	GLUD1_exon11
chr10	88820605	88820925	AMPL7166063043	GLUD1	2746	NM_005271.5	7	exon	0	GLUD1_exon7
chr10	88822318	88822629	AMPL7154849085	GLUD1	2746	NM_005271.5	6	exon	0	GLUD1_exon6
chr11	2180825	2181029	AMPL7163451422	INS	3630	NM_000207.3	3	exon	0	INS_exon3
chr11	2181028	2181116	AMPL7154783772	INS	3630	NM_000207.3	3	exon	0	INS_exon3
chr11	2181093	2181290	AMPL7166260887	INS	3630	NM_000207.3	3	exon	0	INS_exon3
chr11	2181383	2181660	AMPL7166079070	INS;INS-IGF2	3630;723961	NM_000207.3;NM_001042376.3;NM_001185097.2;NM_001185098.2;NM_001291897.2;NR_003512.4	NA	gene_or_transcript_region	157	INS;INS-IGF2_dist157bp
chr11	2181546	2181860	AMPL7166063050	INS;INS-IGF2	3630;723961	NM_000207.3;NM_001042376.3;NM_001185097.2;NM_001185098.2;NM_001291897.2;NR_003512.4	NA	gene_or_transcript_region	155	INS;INS-IGF2_dist155bp
chr11	2181834	2182073	AMPL7154784953	INS	3630	NM_000207.3	2	exon	0	INS_exon2
chr11	2182062	2182385	AMPL7154784954	INS	3630	NM_000207.3	2	exon	0	INS_exon2
chr11	2182130	2182458	AMPL7154784955	INS	3630	NM_000207.3	2	exon	0	INS_exon2
chr11	2182429	2182753	AMPL7154897326	INS	3630	NM_000207.3	1	exon	0	INS_exon1
